features,number,accuracy
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25)",38,0.6102015605270614
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34)",57,0.6101628255900279
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84)",70,0.6101152515496514
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26)",68,0.610102506733204
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33, 1, 5, 6, 72, 77, 27, 83)",85,0.6100590745588745
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33)",78,0.6099694157883997
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12)",58,0.6099068085680405
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29)",16,0.609819800161523
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81)",49,0.6098121028085803
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66)",52,0.6097432399731515
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40)",61,0.6097379886921275
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8)",25,0.6096820951474727
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39)",15,0.6096700280433791
